paper_id	0	1	2	3	4
RUzSobdYy0V	5.0	6.0	8.0		
N3kGYG3ZcTi	3.0	5.0	3.0	1.0	
tmIiMPl4IPa	8.0	6.0	3.0	8.0	3.0
mhnHqRqcjYU	8.0	6.0	6.0		
sZI1Oj9KBKy	8.0	6.0	5.0	3.0	
